Bracket,Nivel Socioeconómico,"Si estas en esquina, que tipo de esquina es. ¿Esquina corta o larga? Considera lo siguiente",Si estas en esquina. ¿De qué lado te encuentras respecto al conductor de un automóvil? Manejando por la avenida con el flujo principal,¿Es la esquina donde queremos estar?,¿Consideras que es la zona donde queremos estar?,¿Es el crucero donde queremos estar?,¿Consideras que es el mejor layout que podremos tener?,Te encuentras en alguna de estas opciones,¿Cuentas con una parada de transporte público en tu tienda?,"¿La tienda se encuentra dentro de una zona comercial? (Zona donde puedes encontrar comercio local. Ej, carnicerías, tortillerías, ferreterías, estéticas, gimnasios, café internet, étc)",¿En qué zona consideras que se encuentra la tienda?,Ahora validaremos datos sobre el entorno de la tienda. Apoyanos contestando las siguientes preguntas..,¿Cuál es el PRINCIPAL generador de la tienda? ,Escuela Pública,Escuela Privada,Ninguno,Clínica,Mercado,Fraccionamientos,Industria,Parques ,Iglesias,Canchas Deportivas,Kiosko / Plaza de Colonia,7-Eleven,BAE,OXXO,Six,Bodega SuMerca,Modelorama,Mi Bodeguita,OXXO Super,Carnicería Cantú,Carnicería Cárdenas,Carnicería Ortiz,Merco,Carnicería,Tortillería,Frutas y Verduras,Panadería,Carnicería.1,Tortillería.1,Frutas y Verduras.1,Panadería.1,Carnicería.2,Tortillería.2,Frutas y Verduras.2,Panadería.2,Carnicería.3,Tortillería.3,Frutas y Verduras.3,Panadería.3,Carnicería.4,Tortillería.4,Frutas y Verduras.4,Panadería.4,Carnicería.5,Tortillería.5,Frutas y Verduras.5,Panadería.5,Carnicería.6,Tortillería.6,Frutas y Verduras.6,Panadería.6,Carnicería.7,Tortillería.7,Frutas y Verduras.7,Panadería.7,Carnicería.8,Tortillería.8,Frutas y Verduras.8,Panadería.8,Carnicería.9,Tortillería.9,Frutas y Verduras.9,Panadería.9,Carnicería.10,Tortillería.10,Frutas y Verduras.10,Panadería.10,Carnicería.11,Tortillería.11,Frutas y Verduras.11,Panadería.11,7-Eleven.1,BAE.1,OXXO.1,Six.1,Bodega SuMerca.1,Modelorama.1,Mi Bodeguita.1,OXXO Super.1,Carnicería Cantú.1,Carnicería Cárdenas.1,Carnicería Ortiz.1,Merco.1,Carnicería.12,Tortillería.12,Frutas y Verduras.12,Panadería.12,Carnicería.13,Tortillería.13,Frutas y Verduras.13,Panadería.13,Carnicería.14,Tortillería.14,Frutas y Verduras.14,Panadería.14,Carnicería.15,Tortillería.15,Frutas y Verduras.15,Panadería.15,Carnicería.16,Tortillería.16,Frutas y Verduras.16,Panadería.16,Carnicería.17,Tortillería.17,Frutas y Verduras.17,Panadería.17,Carnicería.18,Tortillería.18,Frutas y Verduras.18,Panadería.18,Carnicería.19,Tortillería.19,Frutas y Verduras.19,Panadería.19,Carnicería.20,Tortillería.20,Frutas y Verduras.20,Panadería.20,Carnicería.21,Tortillería.21,Frutas y Verduras.21,Panadería.21,Carnicería.22,Tortillería.22,Frutas y Verduras.22,Panadería.22,Carnicería.23,Tortillería.23,Frutas y Verduras.23,Panadería.23,Góndolas Centrales,Tramos Centrales,Puertas De Cuarto Frío,Puntos de Venta (POS),Enfriadores Adicionales,Tramos de Pared (Racks),Total de Rondos,"Vitrinas (Res, Pollo y Carnicería)",Open Case,Cajero Automático,Licencia de Alcohol,Valor Licencia de Alcohol,Tortillería MD,Frutas y Verduras MD,Carnicería MD,Panadería MD,Cajones de Estacionamiento,Accesibilidad Vehicular,Valor Accesibilidad Vehicular,Valor Accesibilidad Vehicular Texto,Accesibilidad Peatonal,Valor Accesibilidad Peatonal,Valor Accesibilidad Peatonal Texto,Tipo de Calle,Visibilidad General,Valor Visibilidad,Estrategia
Top,C-,Corta/ Short Corner,Derecha,Sí,Sí,Sí,Sí,Centro de Colonia,Sí,,,,Fraccionamientos,Escuela Pública,,,,,,,,,Canchas Deportivas,,,2.0,2.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,Carnicería,,,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,40.0,8,2.0,2.0,8.0,2.0,2.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,9.0,Regular (De 5 a 10 metros de maniobra para entrar a la tienda),3.0,Regular,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Regular,3.0,Operar-mantener
Mid,C-,Preferente / Far Corner,Derecha,No,No,Sí,No,Centro de Colonia,No,Sí,"Zona Madura (Totalmente habitada, comercio local establecido, étc)",,Fraccionamientos,Escuela Pública,,,,,,,,,,,0.0,1.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,40.0,8,3.0,3.0,4.0,2.0,2.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,,5.0,Excelente (Mayor a 15 metros de maniobra para entrar a la tienda),5.0,Excelente,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Buena,4.0,Optimizar / Agregar atributos adicionales
Mid,C-,Preferente / Far Corner,Derecha,Sí,Sí,Sí,Sí,Centro de Colonia,Sí,,,,Fraccionamientos,Escuela Pública,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,38.0,8,2.0,2.0,4.0,2.0,3.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,5.0,Excelente (Mayor a 15 metros de maniobra para entrar a la tienda),5.0,Excelente,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Regular,3.0,Operar-mantener
Mid,C,Corta/ Short Corner,Izquierda,Sí,Sí,Sí,Sí,Fondo de Colonia,Sí,,,,Fraccionamientos,Escuela Pública,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,38.0,8,2.0,2.0,3.0,2.0,3.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,6.0,Excelente (Mayor a 15 metros de maniobra para entrar a la tienda),5.0,Excelente,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Excelente,5.0,Operar-mantener
Top,C-,No Aplica / No Esquina,,,Sí,Sí,Sí,Fondo de Colonia,Sí,,,,Escuela Pública,Escuela Pública,,,,Mercado,Fraccionamientos,,,,Canchas Deportivas,,,,1.0,,,,,,,,,,,,,,,,,,,Tortillería,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,Tortillería,Frutas y Verduras,Panadería,,Tortillería,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,38.0,8,2.0,3.0,8.0,2.0,2.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,4.0,Excelente (Mayor a 15 metros de maniobra para entrar a la tienda),5.0,Excelente,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Excelente,5.0,Operar-mantener
Mid,C,Preferente / Far Corner,Izquierda,No,Sí,Sí,No,Fondo de Colonia,No,No,"Zona Madura (Totalmente habitada, comercio local establecido, étc)",,Fraccionamientos,Escuela Pública,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,8,2.0,3.0,9.0,2.0,2.0,2.0,Sí,Sí,1.0,No hay,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,4.0,Regular (De 5 a 10 metros de maniobra para entrar a la tienda),3.0,Regular,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Principal (40-60 kmh),Mala,2.0,Operar-mantener
Top,D+,Corta/ Short Corner,Derecha,Sí,Sí,Sí,Sí,Centro de Colonia,No,No,"Zona Madura (Totalmente habitada, comercio local establecido, étc)",,Fraccionamientos,Escuela Pública,,,,Mercado,,,Parques ,,,,,0.0,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,Frutas y Verduras,,,,Frutas y Verduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,Frutas y Verduras,Panadería,,,Frutas y Verduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,32.0,8,2.0,2.0,,9.0,3.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,7.0,Bueno (Mayor a 10 metros de maniobra para entrar a la tienda),4.0,Bueno,Bueno (Puedo llegar caminando sin algún tipo de barrera física),3.0,Bueno,Calle Secundaria (20-40 kmh),Buena,4.0,Operar-mantener
Top,C-,Corta/ Short Corner,Izquierda,Sí,Sí,Sí,No,Fondo de Colonia,Sí,,,,Fraccionamientos,Escuela Pública,,,,,Fraccionamientos,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,Carnicería,Tortillería,Frutas y Verduras,Panadería,,,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,38.0,8,3.0,3.0,8.0,2.0,3.0,2.0,Sí,Sí,1.0,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,4.0,Regular (De 5 a 10 metros de maniobra para entrar a la tienda),3.0,Regular,"Regular (Llego de una buena manera a la tienda, pero podría llegar mejor)",2.0,Regular ,Calle Principal (40-60 kmh),Buena,4.0,Operar-mantener
Bottom,C-,No Aplica / No Esquina,,,No,No,No,Ninguna / No Aplica,No,No,"Zona Madura (Totalmente habitada, comercio local establecido, étc)",,Ninguno,Escuela Pública,,,,,Fraccionamientos,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,Tortillería,Frutas y Verduras,Panadería,Carnicería,Tortillería,Frutas y Verduras,Panadería,,Tortillería,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,Tortillería,Frutas y Verduras,Panadería,Carnicería,Tortillería,Frutas y Verduras,Panadería,,Tortillería,Frutas y Verduras,Panadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,30.0,8,8.0,2.0,8.0,1.0,2.0,2.0,Sí,Sí,1.0,No hay,Sí se cuenta con ellos,Sí se cuenta con ellos,Sí se cuenta con ellos,4.0,Excelente (Mayor a 15 metros de maniobra para entrar a la tienda),5.0,Excelente,"Malo (Para llegar a la tienda tengo algún impedimento [tengo que rodear una calle/parque, no hay banqueta, hay un camellón, el crucero es peligroso, étc])",1.0,Malo,Calle de Colonia (Menor a 20 kmh),Mala,2.0,Reubicar
Average,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.0277777777777777,1.3111111111111111,1.16,0.6,1.0909090909090908,0.0,0.8,0.0,0.5,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.1515151515151516,1.2352941176470589,1.318181818181818,0.8,0.9285714285714286,0.4,0.5,0.0,0.25,0.4,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.038461538461538,34.69230769230769,8,2.3461538461538463,1.9183673469387752,6.666666666666667,2.0576923076923075,2.5,2.0,,,,,,,,6.153846153846154,,3.6538461538461537,,,2.769230769230769,,,,3.826923076923077,
